table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,
"Table 1. Annual Estimates of the Population of Metropolitan and Micropolitan Statistical Areas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,,,
"CBSA
Code","Metro
Division
Code",Geographic area,Population estimates,,,,,,,,,,"April 1, 2000",
,,,"July 1,
2009","July 1,
2008","July 1,
2007","July 1,
2006","July 1,
2005","July 1,
2004","July 1,
2003","July 1,
2002","July 1,
2001","July 1,
2000",Estimates base,Census
,,Metropolitan statistical areas,,,,,,,,,,,,
,,(Titles of metropolitan divisions are indented.),,,,,,,,,,,,
10180,,"Abilene, TX","160,070","159,059","159,005","158,704","158,713","158,571","158,053","158,118","158,291","160,108","160,241","160,245"
10420,,"Akron, OH","699,935","699,954","700,559","700,013","700,649","700,587","700,286","699,606","698,288","695,971","694,944","694,960"
10500,,"Albany, GA","165,440","164,488","163,646","162,975","162,031","161,489","161,185","160,054","159,833","157,757","157,868","157,833"
10580,,"Albany-Schenectady-Troy, NY","857,592","854,301","852,019","850,541","846,357","843,928","839,741","833,752","829,490","827,227","825,879","825,875"
10740,,"Albuquerque, NM","857,903","846,582","834,685","817,973","798,722","780,865","766,154","753,670","739,531","731,712","729,648","729,649"
10780,,"Alexandria, LA","154,101","153,451","152,717","152,167","147,128","146,360","145,545","145,137","144,918","145,079","145,035","145,035"
10900,,"Allentown-Bethlehem-Easton, PA-NJ","816,012","811,669","805,352","796,488","786,034","776,048","765,926","756,321","748,739","741,937","740,400","740,395"
11020,,"Altoona, PA","126,122","125,923","125,987","126,008","125,882","126,532","126,844","127,346","128,336","129,030","129,144","129,144"
11100,,"Amarillo, TX","246,474","243,682","241,848","239,878","237,767","235,113","232,791","230,227","228,333","227,117","226,522","226,522"
11180,,"Ames, IA","87,214","86,219","85,232","83,476","81,757","81,897","81,453","81,612","80,057","80,127","79,981","79,981"
11260,,"Anchorage, AK","374,553","365,790","360,908","359,341","351,851","346,057","339,131","332,703","325,839","320,434","319,605","319,605"
11300,,"Anderson, IN","131,417","131,253","130,915","130,902","130,588","131,185","131,616","132,443","132,983","133,275","133,358","133,358"
11340,,"Anderson, SC","184,901","182,937","180,155","177,244","174,332","172,666","171,196","169,920","168,716","166,319","165,743","165,740"
11460,,"Ann Arbor, MI","347,563","344,767","347,807","346,042","343,858","340,622","337,039","333,619","329,234","324,491","322,770","322,895"
11500,,"Anniston-Oxford, AL","114,081","113,422","112,808","112,453","112,081","111,615","111,378","110,860","111,019","111,342","112,243","112,249"
11540,,"Appleton, WI","221,894","219,780","218,007","216,284","214,105","212,167","210,245","208,137","205,340","202,508","201,720","201,602"
11700,,"Asheville, NC","412,672","409,001","404,372","397,918","390,854","386,420","381,906","377,810","373,870","370,492","369,171","369,171"
12020,,"Athens-Clarke County, GA","192,222","189,926","186,710","183,113","179,013","178,167","173,946","171,010","169,135","166,903","166,075","166,079"
12060,,"Atlanta-Sandy Springs-Marietta, GA","5,475,213","5,385,586","5,267,527","5,119,641","4,947,012","4,802,300","4,673,146","4,555,490","4,432,950","4,281,905","4,248,021","4,247,981"
12100,,"Atlantic City-Hammonton, NJ","271,712","270,609","269,945","269,495","268,318","266,015","261,810","258,169","254,890","253,038","252,547","252,552"
12220,,"Auburn-Opelika, AL","135,883","133,105","130,791","128,217","125,350","121,698","119,631","118,197","116,759","115,511","115,094","115,092"
12260,,"Augusta-Richmond County, GA-SC","539,154","534,612","529,045","523,038","517,352","514,331","509,465","506,413","502,964","500,235","499,656","499,684"
12420,,"Austin-Round Rock, TX","1,705,075","1,654,100","1,594,525","1,528,958","1,464,309","1,418,999","1,382,693","1,353,176","1,324,426","1,265,715","1,249,746","1,249,763"
12540,,"Bakersfield, CA","807,407","797,145","784,687","768,209","747,315","726,029","706,963","689,204","674,028","663,484","661,649","661,645"
12580,,"Baltimore-Towson, MD","2,690,886","2,677,712","2,669,702","2,662,048","2,649,586","2,638,066","2,621,815","2,600,580","2,577,904","2,557,501","2,553,022","2,552,994"
12620,,"Bangor, ME","149,419","149,268","148,603","148,197","147,020","146,660","147,123","146,249","145,589","144,907","144,917","144,919"
12700,,"Barnstable Town, MA","221,151","221,521","222,246","223,351","224,877","226,728","228,038","226,893","224,928","223,245","222,234","222,230"
12940,,"Baton Rouge, LA","786,947","779,340","772,041","764,799","729,886","725,570","719,116","713,558","709,848","707,429","705,962","705,973"
12980,,"Battle Creek, MI","135,616","136,404","136,689","137,445","138,222","138,882","138,521","138,343","138,052","138,021","137,985","137,985"
13020,,"Bay City, MI","107,434","107,597","107,373","107,973","108,513","108,921","109,125","109,584","109,654","110,091","110,159","110,157"
13140,,"Beaumont-Port Arthur, TX","378,477","377,477","375,725","373,058","380,272","380,324","380,030","381,019","381,705","384,688","385,090","385,090"
13380,,"Bellingham, WA","200,434","196,960","192,843","188,837","185,356","181,715","177,821","174,980","171,250","167,760","166,828","166,814"
13460,,"Bend, OR","158,629","157,730","153,405","148,670","140,962","134,080","129,322","125,468","120,667","116,618","115,367","115,367"
13740,,"Billings, MT","154,553","152,320","149,800","147,960","146,252","144,229","142,707","141,428","140,245","139,091","138,900","138,904"
13780,,"Binghamton, NY","244,694","244,870","245,380","246,163","246,776","248,337","249,645","251,290","251,448","252,042","252,323","252,320"
13820,,"Birmingham-Hoover, AL","1,131,070","1,123,146","1,112,838","1,103,572","1,090,441","1,081,705","1,073,439","1,065,089","1,060,335","1,053,394","1,051,300","1,052,238"
13900,,"Bismarck, ND","106,286","104,629","103,023","101,186","99,371","97,734","96,846","96,084","95,165","94,840","94,733","94,719"
13980,,"Blacksburg-Christiansburg-Radford, VA","159,587","158,521","157,649","156,064","154,546","153,252","152,890","152,608","153,029","151,479","151,274","151,272"
14020,,"Bloomington, IN","185,598","184,165","182,942","181,852","180,148","179,378","178,196","176,552","176,193","175,831","175,507","175,506"
14060,,"Bloomington-Normal, IL","167,699","165,571","163,983","161,802","159,374","158,395","157,257","155,630","152,622","150,897","150,433","150,433"
14260,,"Boise City-Nampa, ID","606,376","598,719","586,286","566,842","543,915","523,634","510,787","499,028","485,564","468,874","464,842","464,840"
14460,,"Boston-Cambridge-Quincy, MA-NH","4,588,680","4,544,705","4,503,921","4,473,477","4,458,891","4,456,479","4,458,187","4,459,011","4,443,310","4,402,611","4,392,349","4,391,344"
14460,14484,".Boston-Quincy, MA","1,918,227","1,898,436","1,876,302","1,857,790","1,851,491","1,849,205","1,849,369","1,848,817","1,837,811","1,816,879","1,812,937","1,812,937"
14460,15764,".Cambridge-Newton-Framingham, MA","1,505,006","1,487,636","1,475,519","1,467,985","1,465,156","1,467,576","1,470,427","1,473,966","1,476,773","1,468,934","1,466,396","1,465,396"
14460,37764,".Peabody, MA","742,582","737,365","733,066","731,174","730,256","730,901","732,303","733,096","730,782","725,379","723,421","723,419"
14460,40484,".Rockingham County-Strafford County, NH","422,865","421,268","419,034","416,528","411,988","408,797","406,088","403,132","397,944","391,419","389,595","389,592"
14500,,"Boulder, CO /1","303,482","300,452","295,691","291,449","286,545","284,815","282,126","281,941","278,981","271,669","269,768","269,814"
14540,,"Bowling Green, KY","120,595","118,588","116,434","114,560","111,996","109,669","108,281","106,548","105,524","104,476","104,168","104,166"
14600,,"Bradenton-Sarasota-Venice, FL","688,126","685,926","682,868","677,166","668,200","648,989","631,336","618,388","604,908","592,703","589,972","589,959"
14740,,"Bremerton-Silverdale, WA","240,862","239,865","238,087","239,543","235,769","239,311","238,988","235,499","233,348","232,355","231,966","231,969"
14860,,"Bridgeport-Stamford-Norwalk, CT","901,208","894,401","889,067","888,526","891,015","892,291","892,311","890,635","888,036","884,420","882,567","882,567"
15180,,"Brownsville-Harlingen, TX","396,371","389,164","382,703","376,882","370,735","364,330","357,097","349,544","342,262","336,443","335,227","335,227"
15260,,"Brunswick, GA","103,841","103,020","101,640","99,933","97,648","96,759","96,010","95,031","94,298","93,226","93,044","93,044"
15380,,"Buffalo-Niagara Falls, NY","1,123,804","1,124,055","1,125,965","1,130,913","1,139,328","1,148,714","1,154,212","1,158,368","1,163,528","1,169,159","1,170,109","1,170,111"
15500,,"Burlington, NC","150,358","147,910","144,824","141,472","139,280","137,653","136,018","135,314","133,497","131,521","130,799","130,800"
15540,,"Burlington-South Burlington, VT","208,055","207,028","206,155","205,515","205,046","204,412","203,265","202,511","201,094","199,590","198,892","198,889"
15940,,"Canton-Massillon, OH","408,005","408,782","408,592","407,966","407,753","408,520","408,421","407,872","407,339","406,966","406,971","406,934"
15980,,"Cape Coral-Fort Myers, FL","586,908","588,709","585,264","565,956","541,542","512,180","490,139","474,109","458,557","443,916","440,889","440,888"
16020,,"Cape Girardeau-Jackson, MO-IL","93,712","93,287","92,973","92,674","91,918","91,736","91,063","91,160","90,913","90,429","90,312","90,312"
16180,,"Carson City, NV","55,176","55,274","55,007","55,121","55,731","55,797","55,083","54,424","53,426","52,551","52,457","52,457"
16220,,"Casper, WY","74,508","73,057","71,817","70,259","69,442","68,659","67,957","67,371","66,873","66,554","66,533","66,533"
16300,,"Cedar Rapids, IA","256,324","254,911","252,237","249,209","247,060","244,966","243,094","242,059","240,100","237,853","237,230","237,230"
16580,,"Champaign-Urbana, IL","226,132","223,998","223,487","221,056","218,340","216,757","215,601","213,351","211,813","210,511","210,276","210,275"
16620,,"Charleston, WV","304,214","303,331","303,401","303,509","304,426","305,911","306,154","306,123","307,023","309,387","309,635","309,635"
16700,,"Charleston-North Charleston-Summerville, SC","659,191","647,194","631,984","617,619","601,429","590,096","576,539","566,543","557,487","550,875","548,974","549,033"
16740,,"Charlotte-Gastonia-Concord, NC-SC","1,745,524","1,706,469","1,650,974","1,583,869","1,519,448","1,471,706","1,436,890","1,406,699","1,375,381","1,340,417","1,330,552","1,330,448"
16820,,"Charlottesville, VA","196,766","195,012","192,510","190,460","187,823","184,806","182,525","180,592","177,884","174,784","174,021","174,021"
16860,,"Chattanooga, TN-GA","524,303","520,089","515,810","510,542","502,842","497,235","492,354","487,718","482,729","477,213","476,502","476,531"
16940,,"Cheyenne, WY","88,854","87,759","86,601","85,974","85,270","85,195","84,287","83,144","82,392","81,745","81,607","81,607"
16980,,"Chicago-Naperville-Joliet, IL-IN-WI","9,580,567","9,515,636","9,451,936","9,398,855","9,362,080","9,332,090","9,286,162","9,245,135","9,192,501","9,117,732","9,098,630","9,098,316"
16980,16974,".Chicago-Naperville-Joliet, IL","7,998,257","7,941,338","7,888,362","7,845,825","7,821,572","7,805,193","7,773,183","7,741,211","7,702,926","7,643,102","7,628,496","7,628,412"
16980,23844,".Gary, IN","704,361","702,331","698,210","693,439","688,893","684,701","681,080","678,577","677,134","676,422","675,968","675,971"
16980,29404,".Lake County-Kenosha County, IL-WI","877,949","871,967","865,364","859,591","851,615","842,196","831,899","825,347","812,441","798,208","794,166","793,933"
17020,,"Chico, CA","220,577","219,503","217,741","216,933","214,831","213,173","211,584","209,319","206,384","203,926","203,171","203,171"
17140,,"Cincinnati-Middletown, OH-KY-IN","2,171,896","2,158,643","2,148,315","2,122,711","2,102,422","2,083,905","2,066,256","2,050,030","2,035,680","2,014,665","2,009,651","2,009,632"
17300,,"Clarksville, TN-KY","268,546","261,757","262,170","252,809","251,845","244,887","241,527","238,210","235,713","232,719","232,045","232,000"
17420,,"Cleveland, TN","113,358","112,414","111,223","109,584","108,013","106,939","106,056","105,564","105,077","104,307","104,015","104,015"
17460,,"Cleveland-Elyria-Mentor, OH","2,091,286","2,094,051","2,099,185","2,106,336","2,118,249","2,128,958","2,136,026","2,140,552","2,144,528","2,147,948","2,148,017","2,148,143"
17660,,"Coeur d'Alene, ID","139,390","136,998","133,922","130,353","126,641","121,553","116,910","114,000","111,707","109,541","108,685","108,685"
17780,,"College Station-Bryan, TX","212,268","207,140","202,941","200,435","196,445","193,760","191,990","189,271","186,851","185,469","184,885","184,885"
17820,,"Colorado Springs, CO","626,227","616,975","607,267","601,150","588,385","579,810","572,399","566,091","556,604","540,111","537,488","537,484"
17860,,"Columbia, MO","166,234","164,182","162,132","159,691","156,240","153,284","151,486","149,760","147,802","146,026","145,666","145,666"
17900,,"Columbia, SC","744,730","732,558","719,622","705,320","691,990","685,098","673,209","663,454","657,598","649,181","647,250","647,158"
17980,,"Columbus, GA-AL","292,795","287,251","286,905","290,057","288,193","286,680","281,683","286,315","283,457","282,164","281,766","281,768"
18020,,"Columbus, IN","76,063","75,494","74,676","73,972","73,200","72,523","72,009","71,712","72,009","71,737","71,435","71,435"
18140,,"Columbus, OH","1,801,848","1,779,822","1,759,348","1,737,170","1,714,463","1,696,238","1,678,827","1,659,344","1,642,112","1,619,514","1,612,843","1,612,694"
18580,,"Corpus Christi, TX","416,095","413,206","411,528","411,889","410,253","406,835","403,458","402,858","401,280","403,199","403,282","403,280"
18700,,"Corvallis, OR","82,605","81,775","81,583","80,145","79,427","78,949","79,414","79,622","78,175","78,197","78,139","78,153"
19060,,"Cumberland, MD-WV","99,736","99,772","99,564","99,209","99,507","100,324","100,465","100,840","101,308","101,841","102,008","102,008"
19100,,"Dallas-Fort Worth-Arlington, TX","6,447,615","6,301,085","6,156,652","5,999,411","5,816,407","5,689,982","5,582,033","5,476,578","5,354,623","5,196,188","5,161,537","5,161,544"
19100,19124,".Dallas-Plano-Irving, TX","4,326,384","4,226,684","4,131,159","4,028,821","3,903,327","3,814,731","3,741,111","3,672,017","3,591,770","3,475,160","3,451,204","3,451,226"
19100,23104,".Fort Worth-Arlington, TX","2,121,231","2,074,401","2,025,493","1,970,590","1,913,080","1,875,251","1,840,922","1,804,561","1,762,853","1,721,028","1,710,333","1,710,318"
19140,,"Dalton, GA","134,319","134,288","133,436","131,995","130,098","128,321","126,224","124,743","123,239","120,838","120,061","120,031"
19180,,"Danville, IL","80,067","80,453","80,910","81,502","81,696","82,136","82,364","82,909","83,447","83,796","83,924","83,919"
19260,,"Danville, VA","105,814","106,250","105,877","106,075","106,655","107,360","108,120","108,636","109,359","110,000","110,158","110,156"
19340,,"Davenport-Moline-Rock Island, IA-IL","379,066","376,980","375,360","373,818","372,916","372,754","372,866","373,855","374,642","375,820","376,048","376,019"
19380,,"Dayton, OH","835,063","837,036","839,563","841,558","843,575","845,594","845,508","845,416","846,089","848,093","848,155","848,153"
19460,,"Decatur, AL","151,399","150,344","149,299","148,172","147,244","146,414","146,680","146,040","146,330","146,050","145,873","145,867"
19500,,"Decatur, IL","108,204","108,326","108,722","109,025","109,582","109,987","110,656","111,980","113,307","114,476","114,706","114,706"
19660,,"Deltona-Daytona Beach-Ormond Beach, FL","495,890","497,344","498,769","494,302","485,940","476,695","465,989","458,400","451,291","445,060","443,343","443,343"
19740,,"Denver-Aurora-Broomfield, CO /1","2,552,195","2,500,384","2,449,476","2,399,620","2,353,518","2,321,712","2,297,441","2,276,250","2,246,785","2,194,022","2,179,343","2,179,240"
19780,,"Des Moines-West Des Moines, IA","562,906","554,101","544,240","533,704","522,760","511,589","504,107","496,973","490,191","483,210","481,394","481,394"
